1767715647.1125088|opti2|hello mateo
1767715647.1125088|opti2|hello mateo
1767715708.8166811|man|kys
1767715708.8166811|man|kys
1767715730.3838737|opti2|fuck /quit
1767715730.3838737|opti2|fuck /quit
1767715928.9510086|nom|hi
1767715928.9502847|nom|hi
1767716095.7124975|maze|
1767716095.7124975|maze|
1767752259.6731963|uoko|hi
1767752270.21236|uoko|do you see this
1767752300.8033433|moko|yes i do
1767753641.4800227|komo|hi
1767753649.2360864|komo|do you see this
1767753660.8737605|moko|yes
1767753672.5807722|moko|i see you
